R.br.,Latituda,Longituda,Kategorija saobraćajnice,Datum nastanka saobraćajne nezgode,Vrijeme nastanka saobraćajne nezgode,Vremenske prilike,Period dana,Stanje kolovoza,Broj poginulih osoba,Broj teško povrijeđenih osoba,Broj lakše povrijeđenih osoba,"Vrsta, tip saobraćajne nezgode",Područje,Tip puta,Horizontalna geometrija,Vertikalna geometrija,Tip raskrsnice,Tip prelaza,Pješačka površina,Rasvjeta,Broj povrijeđenih učesnika 30 dana,Broj smrtno stradalih učesnika nakon 30 dana,Ukupno povrijeđenih učesnika,Ukupno smrtno stradalih učesnika,Putnički automobil,Pješak,Romobil,Bicikl,Motocikl,Lako teretno vozilo,Teško teretno vozilo,Autobus,Traktor,Ostalo,Unnamed: 35,Broj povrijeđenih osoba,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Kategorija saobraćajnice.1,Datum i vrijeme nastanka saobraćajne nezgode,Dio dana,Stanje kolovoza.1,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Broj poginulih osoba.1,Unnamed: 73,Unnamed: 74,Tip saobraćajne nezgode (izvorno iz zapisnika MUP-a),Tip saobraćajne nezgode,Putnički automobil.1,Pješak.1,Romobil.1,Bicikl.1,Motocikl.1,Lako teretno vozilo.1,Teško teretno vozilo.1,Autobus.1,Traktor.1,Ostalo.1,Unnamed: 87
1,43.856602,18.418944,Magistralna cesta,02.01.2022.,20:40:00,Magla,Noć,Nepoznato,0,0,4,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,4,0,3.0,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,43.866849,18.409569,Magistralna cesta,05.01.2022.,19:40:00,Nepoznato,Noć,Nepoznato,0,0,2,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,U blizini pješačkog prelaza,Da,Da,0,0,2,0,3.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,43.878932,18.399796,Magistralna cesta,06.01.2022.,10:45:00,Sa snijegom,Dan,Sa snijegom,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Trokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,43.856237,18.408753,Magistralna cesta,09.01.2022.,23:15:00,Nepoznato,Noć,Nepoznato,0,0,2,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,2.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,43.858863,18.421247,Magistralna cesta,10.01.2022.,14:45:00,Oblačno,Dan,Nepoznato,0,0,1,Udar u pješaka,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,43.866848,18.409568,Magistralna cesta,26.01.2022.,19:55:00,Nepoznato,Noć,Nepoznato,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,43.855481,18.417564,Lokalna cesta,03.02.2022.,16:25:00,Nepoznato,Dan,Nepoznato,0,0,1,Udar u pješaka,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Bez raskrsnice,Pješački prelaz,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,43.874569,18.404968,Magistralna cesta,08.02.2022.,21:00:00,Oblačno,Noć,Nepoznato,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,43.855823,18.403798,Magistralna cesta,12.02.2022.,10:50:00,Nepoznato,Dan,Nepoznato,0,0,1,Izlijetanje izvan kolovoza,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,43.85662,18.409602,Magistralna cesta,16.02.2022.,15:45:00,Nepoznato,Dan,Nepoznato,0,0,1,Sudar prilikom obilaženja,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1.0,,,,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,43.861344,18.411703,Magistralna cesta,18.02.2022.,14:05:00,Nepoznato,Dan,Nepoznato,0,0,1,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,T-raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,43.858133,18.412322,Magistralna cesta,22.02.2022.,06:30:00,Oblačno,Dan,Suh,0,0,2,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Petokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,2,0,2.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,43.852946,18.406558,Lokalna cesta,02.03.2022.,00:05:00,Sa snijegom,Noć,Sa snijegom,0,0,2,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Pravac,Ne,T-raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,2,0,2.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,43.856608,18.419269,Magistralna cesta,05.03.2022.,18:45:00,Nepoznato,Noć,Nepoznato,0,0,2,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,T-raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,2,0,4.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,43.855524,18.402349,Magistralna cesta,08.03.2022.,13:00:00,Nepoznato,Dan,Nepoznato,0,0,1,Udar u pješaka,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,43.858925,18.415586,Magistralna cesta,23.03.2022.,19:35:00,Nepoznato,Noć,Nepoznato,0,0,2,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Bez raskrsnice,U blizini pješačkog prelaza,Da,Da,0,0,2,0,2.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,43.855264,18.415868,Lokalna cesta,24.03.2022.,12:50:00,Nepoznato,Dan,Nepoznato,0,0,1,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1.0,,,,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,43.858852,18.420103,Magistralna cesta,24.04.2022.,20:50:00,Nepoznato,Noć,Nepoznato,0,0,2,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,U blizini pješačkog prelaza,Da,Da,0,0,2,0,2.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,43.858931,18.41716,Magistralna cesta,24.04.2022.,23:30:00,Nepoznato,Noć,Nepoznato,0,0,3,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,3,0,2.0,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,43.858931,18.41716,Magistralna cesta,25.04.2022.,14:30:00,Nepoznato,Dan,Nepoznato,0,0,3,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,3,0,2.0,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,43.856556,18.418094,Magistralna cesta,11.05.2022.,19:45:00,Nepoznato,Dan,Nepoznato,0,0,2,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,3.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,43.87857,18.393063,Magistralna cesta,12.05.2022.,19:30:00,Nepoznato,Dan,Nepoznato,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Krivina,Ne,Trokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1.0,,,,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,43.858851,18.420403,Magistralna cesta,02.02.2022.,19:00:00,Nepoznato,Noć,Nepoznato,0,0,1,Udar u pješaka,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
